"","X","Unnamed..0.1","Unnamed..0","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged","AppendedHumanMessages","AppendedAIMessages","FullChatlog","HumanMessageCount","AIMessageCount","HumanWordCounts","AIWordCounts","AvgHumanWordCount","AvgAIWordCount","SumHumanCharCount","SumAICharCount","ResponseTimes","AICompoundSentiments","HumanCompoundSentiments","AvgAICompoundSentiment","AvgHumanCompoundSentiment","AvgResponseTime","AvgSimSpacy","AvgSimTurnLength","AvgSimValence","AvgSimStyleMatching"
"45",44,207,852,"human","yes",91,83,5,37,92,59,71,97,79,1,2,1,45,"She understood the topic she was speaking about.",42,52,52,2,"",2,NA,3,NA,44,4,NA,60,1,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",13,13,"[8, 5, 42, 5, 19, 5, 14, 28, 44, 13, 21, 11, 16]","[5, 10, 23, 15, 29, 32, 26, 31, 27, 29, 27, 21, 15]",17.7692307692308,22.3076923076923,1127,1479,"[14.300321, 24.917043, 61.513932, -2.718978, 67.75189499999999, -8.299503, 63.353446999999996, 99.60583600000001, 67.886085, 63.638798, 38.827907999999994, 37.717214999999996]","[0.0, 0.2732, 0.6514, 0.8275, 0.1154, 0.7574, 0.4005, 0.9517, 0.7823, 0.9042, 0.8439, 0.2023, 0.8478]","[0.6249, 0.0, 0.8251, 0.0, 0.8666, 0.0, 0.6696, 0.4691, 0.9205, 0.6114, 0.7783, 0.0, 0.7177]",0.581353846153846,0.498707692307692,44.0411665833333,77.4904307215461,67.5134864191438,87.345085113881,80.799870759103
"46",45,208,86,"ai","yes",29,27,0,100,86,91,50,27,100,2,2,NA,46,"",0,0,0,2,"",2,NA,4,NA,32,3,NA,79,2,1,1,"Anonymized","Anonymized","Anonymized",15,15,"[5, 13, 7, 7, 6, 14, 21, 5, 5, 7, 12, 11, 16, 12, 6]","[19, 25, 26, 13, 24, 53, 21, 4, 38, 12, 33, 23, 20, 15, 3]",9.8,21.9333333333333,722,1797,"[41.511837, 24.721095, 38.795339999999996, 33.190160000000006, 61.668388, 93.628483, 75.20200600000001, 29.120043000000003, -7.526288000000001, 45.435445, 37.969438, 28.385644000000006, 13.799447, 12.587886000000001]","[0.937, 0.8997, 0.9472, 0.5707, -0.0516, 0.9347, 0.8519, 0.0, 0.9043, 0.8516, 0.8316, 0.8928, 0.8687, 0.807, 0.0]","[0.0, 0.7003, 0.4588, -0.5719, 0.3612, 0.8968, 0.9287, 0.0, 0.3612, 0.0, 0.3182, 0.3612, 0.5413, 0.2263, 0.5859]",0.68304,0.344533333333333,37.7492088571429,67.0318313247986,63.9598172406627,81.6923688109655,73.4871239490001
"47",46,209,872,"ai","yes",15,0,0,99,63,75,100,71,100,2,2,NA,47,"",93,80,94,2,"",2,NA,3,NA,38,4,NA,49,2,1,1,"Anonymized","Anonymized","Anonymized",20,18,"[1, 2, 7, 4, 5, 6, 2, 13, 7, 10, 21, 7, 8, 10, 14, 2, 15, 15, 9, 1]","[5, 10, 8, 44, 31, 6, 14, 44, 28, 32, 27, 33, 51, 31, 21, 20, 29, 23]",7.95,25.3888888888889,846,2428,"[7.376518000000001, 11.023662999999999, 21.018406, -15.924065999999998, 24.142348, 40.338331000000004, 74.678612, 96.659199, 50.752551, 70.144941, 87.74790300000001, 92.418148, 71.477265, 104.483317, 129.389459, 126.85058300000001]","[0.0, 0.4753, 0.6588, 0.3266, 0.8016, 0.0, -0.4329, 0.4019, 0.7491, 0.7712, 0.659, 0.937, 0.0516, 0.9125, 0.9536, 0.0, 0.9551, 0.8953]","[0.0, 0.2263, 0.0, 0.0, 0.0, 0.0, 0.3415, 0.4588, 0.0, 0.0, 0.0, 0.0, 0.5423, 0.0, 0.5849, -0.5994, 0.4754, 0.7003, 0.0, 0.0]",0.506427777777778,0.136505,62.036073625,72.4078638636243,47.151140698503,79.0343412640239,83.5229197986749
"48",47,210,902,"ai","yes",100,80,10,26,100,95,79,100,100,2,2,NA,48,"",9,6,0,2,"",2,NA,3,NA,44,3,NA,73,2,1,3.39789527279837,"Anonymized","Anonymized","Anonymized",16,16,"[1, 6, 9, 33, 11, 7, 13, 11, 36, 1, 5, 17, 33, 16, 13, 7]","[5, 5, 28, 29, 36, 12, 18, 16, 11, 33, 33, 8, 29, 23, 35, 25]",13.6875,21.625,1075,1853,"[2.587407, 14.874742999999999, 55.39223100000001, 86.97014200000001, 8.207746000000004, 6.710175000000001, 81.601989, -0.38805400000000034, 78.88440200000001, 5.916076, -19.676786, 57.524451000000006, 66.24548100000001, 37.657872000000005, -2.2626880000000007, 8.318684999999999]","[0.0, 0.0, 0.9786, 0.8172, 0.9431, 0.8832, 0.8475, 0.857, 0.8968, 0.8689, 0.8689, 0.4926, 0.9323, 0.9128, 0.9421, 0.8774]","[0.0, 0.2023, 0.504, 0.0, 0.6369, 0.5106, 0.0, 0.5719, 0.8935, 0.0, 0.0, 0.7783, 0.7572, 0.7096, 0.8126, 0.0]",0.7574,0.39855625,30.535242,73.1674084995224,62.9553689095064,86.7111108699535,83.0360471941737
"49",48,211,912,"ai","yes",0,0,0,100,50,50,0,50,100,2,2,NA,49,"",70,50,50,2,"",2,NA,3,NA,48,4,NA,50,2,1,1,"Anonymized","Anonymized","Anonymized",14,15,"[1, 7, 7, 18, 11, 10, 9, 18, 9, 11, 13, 11, 12, 7]","[5, 6, 7, 11, 13, 14, 8, 18, 13, 45, 24, 18, 24, 38, 9]",10.2857142857143,16.8666666666667,681,1310,"[7.190583999999999, -1.0259789999999995, 10.610627000000001, 29.422505, 28.377146999999997, 16.555273, 22.230557, 41.965988, 34.73682, 29.336748, 33.824504000000005, 39.480689000000005, 32.663969, 21.895587000000003]","[0.0, 0.2732, 0.8313, 0.6588, 0.8478, 0.9098, 0.855, 0.9589, 0.9148, 0.9718, 0.3085, 0.7955, 0.9199, 0.9424, 0.7707]","[0.0, 0.5267, 0.2732, 0.4767, 0.2732, 0.7506, 0.8271, 0.8883, 0.5106, -0.0521, 0.7506, 0.0, 0.7351, 0.8011]",0.73056,0.482935714285714,24.8046442142857,75.521027595364,71.7627751517696,89.3657214312035,76.4832534813432
"50",49,212,952,"ai","yes",50,0,0,92,100,81,100,62,100,2,2,NA,50,"",30,29,19,2,"",2,NA,3,NA,35,4,NA,81,2,1,1,"Anonymized","Anonymized","Anonymized",13,13,"[8, 17, 8, 7, 12, 4, 24, 7, 14, 14, 13, 26, 25]","[14, 19, 20, 47, 6, 20, 36, 94, 38, 32, 17, 34, 38]",13.7692307692308,31.9230769230769,1043,2229,"[17.045901999999998, 16.202105000000003, 31.936062, 16.074283, 37.757436, 70.60768800000001, 58.101465999999995, -10.296368000000001, 98.149918, 66.090153, 6.592834]","[0.4753, 0.743, -0.2023, -0.1511, 0.0, 0.6239, 0.4753, 0.8395, 0.7777, 0.7639, 0.0, 0.916, 0.945]","[0.4215, 0.2732, -0.4215, 0.0, 0.0, 0.0, -0.296, 0.0, 0.0, 0.8765, 0.5423, 0.4767, 0.7783]",0.4774,0.203923076923077,37.1146799090909,74.737764309638,60.0766475733561,82.679815485419,75.1282568076128
"51",50,213,962,"ai","yes",31,30,1,60,100,50,100,41,100,2,2,NA,51,"",67,32,54,1,"I've seen a few similar (though admittedly less convincing) chat bots over the years. I can't recall any by name but they've been around for well over a decade.",1,NA,3,NA,33,1,NA,81,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",17,17,"[3, 9, 9, 14, 29, 25, 8, 4, 9, 20, 8, 6, 8, 16, 10, 7, 9]","[9, 15, 5, 11, 45, 35, 34, 18, 30, 15, 11, 33, 25, 36, 29, 5, 25]",11.4117647058824,22.4117647058824,1013,2086,"[10.800053000000002, 44.289497, 134.49392600000002, 85.970552, 88.110625, 83.76046, 97.175483, 43.255844, 122.67481900000001, 70.736777, 59.058893, 228.175882, 70.85435500000001, 109.38278299999999, 117.878939]","[0.0, 0.0, 0.0, 0.6588, 0.957, 0.9287, 0.9526, 0.9336, 0.25, 0.3595, 0.6808, 0.9565, 0.6908, 0.8479, 0.2247, 0.5411, 0.0]","[0.0, -0.3017, 0.0, 0.5106, -0.016, -0.2411, 0.5106, 0.34, 0.0, 0.8225, -0.2411, 0.6705, 0.0, 0.5192, 0.0, 0.0, 0.0]",0.528352941176471,0.151382352941176,91.1079258666667,72.662605817097,62.8182238096975,81.0717766799713,83.3705042419136
"52",51,214,972,"ai","yes",40,0,0,85,90,90,97,40,100,2,2,NA,52,"",0,0,0,2,"",1,NA,3,NA,37,3,NA,75,2,1,1,"Anonymized","Anonymized","Anonymized",18,18,"[2, 4, 4, 4, 10, 20, 5, 26, 15, 13, 11, 5, 13, 31, 5, 4, 7, 4]","[5, 6, 7, 12, 19, 20, 26, 16, 24, 24, 20, 18, 31, 40, 32, 31, 22, 22]",10.1666666666667,20.8333333333333,969,2062,"[2.951588, 1.329511, 6.273755000000001, 35.056578, 37.792107, 26.801806, 36.924925, 64.854353, 28.883883000000004, 22.730637, 25.166287000000004, 31.861651000000005, 62.741707000000005, 32.164305, 11.758044000000002, 16.097328, 24.178473]","[0.0, 0.4926, 0.6476, 0.3612, 0.893, 0.9492, 0.8516, 0.81, 0.9378, 0.743, 0.9312, 0.8947, 0.886, 0.9032, 0.95, 0.9245, 0.9497, 0.6697]","[0.4404, 0.2732, 0.2732, 0.3612, 0.5574, -0.5556, 0.4939, 0.764, 0.0, 0.121, 0.0, 0.0, 0.6249, 0.8357, 0.0, 0.0, 0.0, 0.3612]",0.766388888888889,0.252805555555556,27.5039375294118,74.6217214003984,59.1262176117464,79.2552791057155,70.9556918510621
"53",52,215,982,"human","yes",100,90,10,0,75,90,0,5,60,1,2,1,53,"The person was responding to me in a way that a real person would.",85,95,85,2,"",1,NA,3,NA,44,4,NA,10,1,1,3.39789527279837,"Anonymized","Anonymized","Anonymized",17,17,"[1, 8, 4, 5, 24, 7, 30, 17, 9, 16, 7, 28, 15, 14, 17, 10, 22]","[6, 26, 17, 20, 25, 41, 30, 34, 31, 19, 43, 38, 29, 20, 12, 14, 12]",13.7647058823529,24.5294117647059,1115,2170,"[14.507443, 14.864689, 27.046746000000002, 54.815265999999994, 17.511308, 53.11288300000001, 38.703889, 42.782198, 28.119887000000002, 14.090380999999999, 45.862047000000004, 14.853145000000001, 6.820309000000002, 26.539211, 18.500715, 25.954367000000005]","[0.0, 0.9656, 0.3612, 0.9134, 0.9412, 0.09, 0.7749, 0.7391, 0.8151, 0.8271, 0.9734, 0.9705, 0.765, 0.9106, 0.2466, 0.7579, 0.807]","[0.0, 0.6124, 0.0, 0.34, 0.8519, 0.0, 0.2732, 0.3612, 0.2263, 0.2732, 0.0, 0.0, 0.0, 0.6908, -0.5423, 0.0, 0.9062]",0.697564705882353,0.234876470588235,27.75528025,81.5692597215901,64.6800344187157,81.4618491892211,91.214116732991
"54",53,216,992,"human","yes",50,0,3,0,100,50,0,0,100,1,2,1,54,"my thoughts actually went back and forth, but overall she came across as genuine",0,0,0,2,"",2,NA,3,NA,60,3,NA,100,1,1,2.38629436111989,"Anonymized","Anonymized","Anonymized",11,12,"[6, 12, 30, 25, 46, 2, 19, 13, 46, 1, 15]","[5, 35, 28, 31, 46, 45, 1, 8, 35, 35, 16, 2]",19.5454545454545,23.9166666666667,1013,1516,"[21.369349, 47.623577, 24.818830000000002, 58.873772, 97.283028, 27.947643999999997, 69.060332, 54.632024, 109.23086799999999, 22.576259, 28.640872]","[0.0, 0.9572, 0.4753, 0.9336, 0.9432, 0.9588, 0.0, -0.296, 0.5632, 0.8878, 0.8217, 0.0]","[0.6249, 0.0227, 0.0, 0.0, 0.1397, 0.0, 0.0, 0.0, 0.9423, 0.0, 0.8223]",0.5204,0.231990909090909,51.0960504545455,75.2351301710905,62.211594539181,79.9849774869045,68.5084011135521
"55",54,217,100,"ai","yes",100,0,10,0,100,100,10,0,50,2,2,NA,55,"",0,0,0,2,"",2,NA,1,NA,49,3,NA,65,2,1,3.39789527279837,"Anonymized","Anonymized","Anonymized",15,16,"[9, 15, 18, 7, 5, 6, 12, 4, 6, 6, 19, 11, 8, 16, 10]","[5, 11, 19, 16, 9, 17, 24, 10, 12, 18, 22, 18, 18, 26, 24, 24]",10.1333333333333,17.0625,826,1452,"[24.572764, 45.942977, 56.472198999999996, 28.704496, 72.17200199999999, 33.933398999999994, 39.832741, 28.549615000000003, 25.272929, 54.511925000000005, 59.89368, 47.177756, 42.524808, 67.272042, 30.825659]","[0.0, 0.7269, 0.8832, 0.8439, 0.3612, 0.7424, 0.843, 0.8341, 0.4939, 0.8389, 0.9544, 0.008, 0.4767, 0.9153, 0.9041, 0.9036]","[0.5106, 0.7845, 0.6808, 0.7906, 0.0, 0.7845, 0.4588, 0.3612, 0.6908, 0.6662, 0.8428, 0.6597, 0.0, 0.765, 0.743]",0.6706,0.582566666666667,43.8439328,74.12203441577,68.3401722053837,90.0835084891933,78.290106919714
"56",55,218,1042,"human","yes",65,30,2,80,60,75,50,100,100,1,2,1,56,"Some of the social characteristics seems human to me. For example, even though Jessie was very friendly, she didn't pick up on certain topics that could have opened up a bigger conversation. And certain parts lacked a logical flow, so I felt that these were human social errors.",65,80,76,2,"",2,NA,3,NA,44,5,NA,30,1,1,2.09861228866811,"Anonymized","Anonymized","Anonymized",11,12,"[9, 23, 8, 30, 6, 19, 29, 18, 26, 6, 9]","[5, 25, 24, 28, 21, 21, 19, 23, 8, 24, 24, 12]",16.6363636363636,19.5,1009,1185,"[17.401538, 101.395931, 142.109105, 42.778252, 88.285151, 79.062237, 76.08628300000001, 57.51292, 38.199588, 27.041968000000004]","[0.0, 0.7836, 0.8803, 0.9452, 0.6109, 0.9109, 0.8551, 0.6908, 0.6696, 0.63, 0.8832, 0.0]","[0.3382, 0.8459, 0.4404, 0.8268, 0.5859, 0.7568, 0.908, 0.8067, 0.8591, 0.8516, -0.69]",0.654966666666667,0.593581818181818,66.9872973,81.6072481440262,73.4700330456796,89.2828600763539,82.9725420843248
"57",56,219,106,"human","yes",67,77,1.99,35,70,29,4,14,80,1,2,1,57,"I don't think a chatbot could have been as present in the conversation as the person I was talking to.",82,71,92,2,"",1,NA,3,NA,47,2,NA,73,1,1,2.0952733874026,"Anonymized","Anonymized","Anonymized",14,12,"[5, 24, 14, 6, 25, 17, 12, 21, 10, 7, 1, 10, 2, 8]","[5, 31, 47, 27, 27, 12, 19, 42, 20, 13, 25, 11]",11.5714285714286,23.25,850,1481,"[13.432127999999999, 108.850598, 67.305405, 58.103533999999996, 81.22378499999999, 38.546133999999995, 51.882380000000005, 51.48338, 39.805344, 22.246709, -0.5186240000000009, 62.344198]","[0.0, 0.9081, 0.9568, 0.7713, 0.2263, 0.5994, 0.0, 0.9609, 0.9231, 0.8313, 0.8313, 0.7574]","[0.4926, 0.75, 0.765, 0.0, 0.0, 0.0, 0.7177, 0.6898, 0.0, 0.3612, 0.0, 0.0, 0.6369, 0.7568]",0.647158333333333,0.369285714285714,49.5587475833333,75.4694892249481,64.599891644851,84.3570480215185,70.1615474559757
"58",57,220,1082,"ai","yes",71,71,4.99,78,82,73,62,100,100,2,2,NA,58,"",19,7,19,2,"",1,NA,3,NA,65,3,NA,78,2,1,2.79009141212736,"Anonymized","Anonymized","Anonymized",9,10,"[5, 10, 4, 10, 3, 14, 2, 7, 10]","[5, 17, 18, 14, 18, 16, 14, 15, 26, 3]",7.22222222222222,14.6,334,722,"[11.236833, 27.598055, -10.197187999999999, 61.71955500000001, 50.646333000000006, 49.470483, -5.566129, 31.905116999999997, 55.662879999999994]","[0.0, 0.6588, 0.8402, 0.4939, 0.4767, 0.0, 0.9153, 0.9098, 0.9698, 0.4926]","[0.4404, 0.0, 0.0, 0.5514, 0.4215, 0.0, 0.0, 0.4767, 0.8268]",0.57571,0.301866666666667,30.2751043333333,71.8252600216177,56.0403482496126,84.0279325507963,58.2577675548667
"59",58,221,1131,"human","yes",76,66,4.99,35,88,79,20,10,81,1,2,1,59,"They were engaged with me in a positive manner. Also, the depiction of a person led me to believe such was the case.",91,91,91,2,"",1,NA,3,NA,37,3,NA,81,1,1,2.79009141212736,"Anonymized","Anonymized","Anonymized",14,15,"[4, 2, 9, 22, 16, 3, 14, 28, 2, 15, 14, 19, 1, 9]","[5, 19, 7, 7, 8, 15, 7, 6, 10, 8, 9, 8, 13, 12, 2]",11.2857142857143,9.06666666666667,827,706,"[8.798472, 14.127367999999999, 31.671391000000003, 60.21861299999999, 53.694664, 19.540835, 37.582032999999996, 66.236811, 14.637507, 59.41120500000001, 57.730392, 115.985433, 19.505810999999998, 29.470319999999997]","[0.0, 0.7385, 0.0, 0.3612, -0.5799, 0.8328, 0.0, -0.5122, 0.7959, 0.4588, 0.8622, 0.6696, 0.0, 0.7574, 0.0]","[0.0, 0.0, 0.0, -0.4698, 0.6808, 0.4019, 0.0, 0.5487, 0.68, 0.4703, 0.7717, 0.3612, 0.34, 0.8481]",0.292286666666667,0.330921428571429,42.0436325,65.1455795515934,56.514086909375,84.7565594735239,51.9825914579673
"60",59,222,1151,"human","yes",65,50,3,24,50,50,50,23,50,1,2,1,60,"The interaction seemed human and thoughtful rather than calculated.",21,18,29,2,"",2,NA,3,NA,40,4,NA,36,1,1,2.38629436111989,"Anonymized","Anonymized","Anonymized",14,15,"[7, 28, 34, 27, 12, 22, 48, 12, 18, 5, 24, 30, 28, 18]","[5, 11, 28, 31, 33, 44, 32, 26, 38, 20, 16, 16, 16, 14, 5]",22.3571428571429,22.3333333333333,1512,1811,"[8.516327, 51.614587, 41.894626, 31.830068, 44.93222900000001, 39.10108, 72.694895, 23.832332, 42.513833000000005, 40.433267, 60.243008999999994, 63.646387, 47.892925, 29.018314000000004]","[0.0, 0.7906, 0.765, 0.8803, 0.8689, 0.5407, 0.7416, 0.8356, 0.9161, 0.9485, 0.4019, 0.8775, 0.9099, 0.8316, 0.4926]","[0.2732, 0.0, 0.9014, 0.0, 0.7901, 0.8126, 0.8849, 0.296, 0.8885, 0.0, 0.7924, 0.8702, 0.8017, 0.9134]",0.720053333333333,0.587457142857143,42.7259913571429,84.0074502098639,71.957400971803,89.3982814058704,74.3228240867058
"61",60,223,1181,"ai","yes",59,40,0,63,88,77,50,26,100,2,2,NA,61,"",5,7,5,2,"",2,NA,1,NA,37,4,NA,59,2,1,1,"Anonymized","Anonymized","Anonymized",20,20,"[3, 16, 8, 6, 6, 5, 4, 9, 5, 3, 1, 9, 4, 2, 5, 2, 7, 1, 5, 4]","[23, 25, 17, 16, 35, 23, 13, 9, 13, 9, 2, 24, 9, 10, 15, 13, 8, 14, 27, 30]",5.25,16.75,536,1896,"[28.534545, 33.893338, 36.822781000000006, -1.272513, 22.467723, 31.859829000000005, -0.0349819999999994, 20.690126000000003, 21.325077, 17.69637, 15.231589, 34.105408000000004, 29.421333000000004, 41.058515, 23.350515, 35.145931000000004, 21.731481, 29.367286, 44.572945000000004]","[0.8999, 0.9381, 0.9429, 0.906, 0.7151, 0.4215, 0.906, 0.0, 0.4019, 0.2023, 0.5093, 0.6249, 0.4215, 0.4215, 0.8858, 0.9299, 0.0, 0.4019, 0.9466, 0.9368]","[0.0, 0.6597, 0.6696, 0.4404, 0.4404, 0.4215, 0.4753, 0.0, 0.0, 0.2023, 0.4404, 0.0, 0.0, 0.0, 0.4404, 0.3612, 0.0, 0.296, 0.0, 0.4019]",0.620595,0.262455,25.5772261578947,56.7880660246107,47.0670633883668,87.1579519800813,79.8567933477066
"62",61,224,119,"ai","yes",15,5,0,93,75,72,85,19,90,2,2,NA,62,"",0,0,0,2,"",2,NA,3,NA,33,4,NA,10,2,1,1,"Anonymized","Anonymized","Anonymized",22,21,"[1, 3, 6, 10, 13, 7, 16, 7, 14, 19, 17, 8, 25, 11, 17, 7, 4, 13, 4, 10, 4, 15]","[5, 4, 20, 12, 10, 13, 8, 16, 12, 16, 19, 20, 19, 16, 28, 30, 18, 32, 30, 32, 25]",10.5,18.3333333333333,1181,2030,"[3.239699, -2.267138, 22.073980000000002, 18.056203, 10.436847, 18.385645, 24.0531, 16.704363, 23.950063999999998, 44.271317, 22.761932, 52.248819000000005, 24.349637, 52.61310900000001, 15.978478000000003, 15.218195, 23.004448, 25.702621, 18.282372, 29.475806]","[0.0, 0.5707, 0.8986, 0.3612, 0.2732, 0.8478, 0.784, 0.8858, 0.5093, 0.9098, 0.8627, 0.9571, 0.7959, 0.8968, 0.9215, 0.6588, 0.8221, 0.9411, 0.6588, 0.5871, 0.8759]","[0.0, 0.0, 0.2732, -0.2912, 0.2023, 0.8519, 0.8442, 0.6486, -0.34, -0.4404, 0.0, 0.0, 0.0, 0.6908, 0.0, 0.0, 0.3182, 0.5803, 0.0, 0.4939, 0.0, 0.0]",0.715152380952381,0.174172727272727,22.92697485,70.7881912603451,65.0791415487702,79.2647783350001,80.8841603766895
"63",62,225,1212,"ai","yes",100,0,1,73,100,92,64,2,100,2,2,NA,63,"",9,4,8,1,"I've used chatbots before on AIM and other messaging services.",2,NA,3,NA,33,3,NA,59,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",19,20,"[6, 16, 9, 7, 11, 7, 6, 9, 9, 8, 7, 11, 16, 26, 46, 7, 12, 2, 19]","[5, 14, 44, 20, 25, 18, 17, 24, 17, 28, 20, 6, 15, 16, 41, 16, 14, 19, 5, 35]",12.3157894736842,19.95,1264,2101,"[10.670698, 29.577511, 24.835354000000002, 17.995144, 48.969011, 24.257969000000003, 17.40953, 32.823048, 24.678320000000003, 26.856309999999997, 29.117154, 34.698836, 25.179515000000002, 46.259383, 83.479259, 24.203223, 22.514817999999998, 13.329517000000001, 25.992631]","[0.0, 0.743, 0.5411, 0.5859, 0.9468, 0.8997, 0.25, 0.743, 0.7088, 0.4939, 0.8316, 0.0, 0.7263, 0.885, 0.7543, 0.6696, 0.5916, 0.6696, 0.3612, 0.8354]","[0.4926, 0.3612, 0.5859, 0.7096, 0.6486, 0.0, 0.3182, 0.4404, 0.0, 0.0, 0.6476, 0.4767, 0.3382, 0.7263, 0.7469, 0.0, 0.6652, 0.5244, 0.6705]",0.61184,0.439594736842105,29.6235384736842,75.1094486658205,64.2914238945562,89.0951022865018,83.3663043676281
"64",63,226,1231,"ai","yes",61,80,3,10,79,81,39,10,100,2,2,NA,64,"",41,18,31,2,"",2,NA,1,NA,24,4,NA,81,2,1,2.38629436111989,"Anonymized","Anonymized","Anonymized",17,16,"[7, 7, 7, 9, 13, 16, 6, 7, 6, 4, 4, 3, 5, 5, 1, 6, 4]","[5, 7, 14, 22, 9, 32, 20, 13, 14, 11, 7, 3, 12, 12, 7, 12]",6.47058823529412,12.5,533,1024,"[18.518934, 11.459202999999999, 14.828525999999998, 23.131567, 47.627832, 46.302351, 12.183056, 25.706802, 12.532317999999998, 11.775997000000002, 13.463594, 30.623136999999996, 16.670067, 26.53448, 7.295559, 74.171992]","[0.0, 0.7959, 0.8012, 0.0, 0.3934, 0.5093, 0.6464, -0.1134, 0.7901, 0.855, 0.8264, 0.4926, 0.6588, 0.8122, 0.8264, 0.8122]","[0.4404, 0.0, 0.0, 0.4199, 0.8519, 0.8356, -0.2023, 0.5974, 0.5707, 0.4926, 0.3182, 0.7184, 0.6696, 0.7906, 0.4926, 0.0, 0.0]",0.56915625,0.411505882352941,24.5515884375,74.588225785112,62.7457336292222,88.2651057274011,55.3387358349707
"65",64,227,1261,"ai","yes",55,43,10,89,91,95,100,22,100,2,2,NA,65,"",27,38,64,2,"",1,NA,3,NA,47,3,NA,67,2,1,3.39789527279837,"Anonymized","Anonymized","Anonymized",27,28,"[3, 8, 8, 20, 8, 8, 4, 7, 10, 1, 19, 12, 7, 14, 1, 2, 2, 1, 2, 3, 12, 9, 14, 2, 4, 9, 9]","[5, 30, 12, 22, 20, 25, 21, 2, 12, 20, 7, 21, 15, 12, 20, 14, 2, 3, 2, 3, 13, 13, 7, 26, 2, 12, 13, 9]",7.37037037037037,12.9642857142857,929,1940,"[7.106763000000001, 13.459315, 19.234511, 64.597804, 25.547962, 25.910528, 9.793395000000002, 13.15464, 48.18276900000001, -10.419516, 38.241274, 32.152401, 51.040567, 29.933128999999997, -7.869256, 7.581816, 3.537012, 4.101505, 3.834009, 3.1777750000000005, 15.015553999999998, 17.332157, 12.555894000000002, 10.490440999999999, 14.679791000000002, 20.739866, 56.362646]","[0.0, 0.9355, 0.8398, 0.7251, 0.784, 0.9501, 0.9359, 0.5411, -0.1511, 0.2263, 0.0, 0.8167, 0.908, 0.8718, 0.9519, 0.872, 0.5411, 0.0, 0.5411, 0.0, 0.8622, 0.3382, 0.7345, 0.9595, 0.5411, 0.8622, 0.8608, 0.8221]","[0.6249, 0.836, 0.34, 0.5859, 0.0, 0.8176, 0.6124, 0.5719, 0.3595, 0.0, 0.91, 0.6124, 0.0, 0.4215, 0.0, 0.0, 0.0, 0.296, 0.0, 0.3612, 0.0, 0.0, 0.296, 0.0, 0.0, 0.5106, -0.4003]",0.616782142857143,0.287244444444444,19.610176,60.9434684664544,65.4542328147258,82.9979715090807,80.0872784659894
"66",65,228,1301,"ai","yes",71,0,3,34,100,84,83,12,100,2,2,NA,66,"",63,77,86,2,"",2,NA,3,NA,43,4,NA,86,2,1,2.38629436111989,"Anonymized","Anonymized","Anonymized",17,18,"[1, 3, 6, 5, 5, 13, 7, 19, 12, 10, 19, 16, 9, 5, 10, 8, 11]","[5, 10, 10, 14, 39, 17, 26, 30, 14, 18, 13, 17, 21, 6, 15, 28, 40, 16]",9.35294117647059,18.8333333333333,767,1805,"[-2.962074, 12.222127, 16.758401, 14.843186999999999, 32.250342, 32.158525, 37.374233, 41.313205, 23.623096000000004, 40.648509000000004, 42.093233000000005, 32.214329000000006, 33.546942, 16.453015999999998, 32.100494, 26.788437999999996, 54.482005]","[0.0, 0.5983, 0.6588, 0.8881, 0.9039, 0.7424, 0.5848, 0.5514, 0.9098, -0.4926, 0.2714, 0.7088, -0.4098, 0.6588, 0.8436, 0.9633, 0.88, 0.8832]","[0.0, 0.4404, 0.0, 0.0, 0.5859, 0.8335, 0.0, 0.7717, 0.6705, -0.6249, 0.6124, 0.0, 0.4019, 0.0, 0.7569, 0.4939, 0.4767]",0.563566666666667,0.318758823529412,28.582824,70.7605899311676,60.5346358778281,82.7121879517574,90.9928338417266
"67",66,229,1312,"human","yes",90,30,0.99,0,90,20,0,0,100,1,2,1,67,"I've never had a chatbot be able to fluently reply to my questions without misunderstanding what I was talking about.",20,10,10,2,"",1,NA,3,NA,34,3,NA,5,1,1,1.6881346387364,"Anonymized","Anonymized","Anonymized",14,15,"[7, 8, 17, 13, 20, 20, 37, 13, 29, 12, 13, 19, 27, 25]","[5, 17, 10, 14, 45, 24, 33, 28, 44, 28, 24, 43, 55, 42, 33]",18.5714285714286,29.6666666666667,1464,2603,"[9.096368, 30.062211, 37.123726, 34.120335000000004, 45.833713, 56.536796, 56.900718, 51.33502200000001, 43.626329000000005, 29.684171000000003, 57.810168, 33.107202, 57.936018000000004, 72.056091]","[0.0, 0.8475, 0.4404, 0.8573, 0.9052, 0.7645, -0.0772, 0.9357, 0.6597, 0.0, 0.0, 0.3535, 0.8885, -0.4588, 0.7073]","[0.4926, 0.4019, 0.8625, 0.3384, -0.6229, 0.6124, 0.5574, 0.0, -0.1154, 0.0, 0.25, 0.4754, -0.4404, -0.296]",0.454906666666667,0.179707142857143,43.9449191428571,84.5100706617199,72.5547242134789,81.159870749961,78.9267763810475
